itstId,itstNm,mapCtptIntLat,mapCtptIntLot,,,
2015,대명전자삼거리,37.4823424,126.893482,,,
20158,청계6가(연등),37.569639,127.0097319,,,
20160,삼성힐스테이트2단지앞(연등),37.5119827,127.0496803,,,
2017,유광사여성병원,37.5432532,126.8388708,,,
202,고척교,37.4988847,126.8717925,,,
20203,구로시장(연등)1,37.4873,126.8850638,,,
20206,오류동삼거리(연등),37.4943355,126.8400244,,,
20239,노원롯데백화점(연등),37.654585,127.061948,,,
2028,이태원소방파출소,37.5346034,126.9955875,,,
203,구로시장,37.4883771,126.8846197,,,
20303,원터공원(연등)1,37.554693,127.150192,,,
2031,청계한신휴플러스,37.5718504,127.0444346,,,
2032,신답역,37.5698863,127.0486833,,,
2034,장지공영차고지앞,37.4801368,127.1387579,,,
20366,당고개주유소(연등),37.6695469,127.0805588,,,
20379,IBK기업은행대림동지점(연등),37.4970461,126.8989915,,,
2038,동대문중,37.5733575,127.052225,,,
20386,망원역(연등),37.5568793,126.909397,,,
20388,고려대역(연등),37.5896848,127.036465,,,
2039,생태공원삼거리,37.5261462,127.12236,,,
20392,종암2치안센터(연등),37.599055,127.0344679,,,
20393,보훈병원입구(연등),37.5341124,127.1426528,,,
2040,청량리119안전센터,37.5871036,127.0526473,,,
20403,동성공업사(연등),37.6101463,127.0324361,,,
20406,삼양입구사거리(연등)1,37.616641,127.029846,,,
20408,도봉세무서(연등),37.6189823,127.0290591,,,
20409,방송대북부별관(연등),37.6207067,127.0284102,,,
2041,플라워스토리,37.5144374,127.1427856,,,
20410,미아역(연등),37.6271499,127.025859,,,
20416,대한병원(연등),37.6362876,127.0230723,,,
2042,가양3.5단지,37.5628915,126.8517449,,,
20423,수유3동우체국(연등),37.642193,127.030145,,,
2043,등촌아이파크아파트,37.5439455,126.8621637,,,
20433,창동변전소(연등),37.6585525,127.0405611,,,
20434,동부센트레빌아파트앞(연등),37.6628564,127.0392505,,,
20438,방학홈플러스(연등),37.6659281,127.0429938,,,
20445,도봉한신아파트(연등),37.6827755,127.045853,,,
2045,방아삼거리,37.5236865,127.1464939,,,
20450,박미삼거리(연등)1,37.447284,126.9034026,,,
20451,상월곡역(연등)1,37.6074855,127.0505732,,,
20452,석관2동삼성래미안(연등),37.6085327,127.0525861,,,
20454,장위사거리(연등),37.6138007,127.0623226,,,
20456,월릉교(연등),37.6155273,127.068844,,,
20457,태릉가스충전소(연등),37.6180765,127.072629,,,
